Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Doctoral degree,3,38. Philosophy and religious studies,"38.01. Philosophy, logic and ethics",,
Doctoral degree,3,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Diploma,3,43. Security and protective services,43.01. Criminal justice and corrections,"$48,200 ",940
Diploma,3,43. Security and protective services,43.02. Fire protection,"$83,500 ",40
Bachelor's degree,3,43. Security and protective services,43.01. Criminal justice and corrections,"$59,400 ",300
Bachelor's degree,3,43. Security and protective services,"43.99. Security and protective services, other","$124,100 ",90
Certificate,4,43. Security and protective services,43.01. Criminal justice and corrections,"$48,800 ",70
Certificate,4,43. Security and protective services,43.02. Fire protection,"$64,800 ",640
Doctoral degree,3,44. Public administration and social service professions,44.07. Social work,,
Doctoral degree,3,45. Social sciences,45.02. Anthropology,,
Doctoral degree,3,45. Social sciences,45.03. Archaeology,,
Doctoral degree,3,45. Social sciences,45.06. Economics,,
Doctoral degree,3,45. Social sciences,45.07. Geography and cartography,,
Doctoral degree,3,45. Social sciences,45.10. Political science and government,,
Certificate,4,43. Security and protective services,"43.99. Security and protective services, other","$58,500 ",80
Doctoral degree,3,50. Visual and performing arts,50.09. Music,,
Diploma,4,43. Security and protective services,43.01. Criminal justice and corrections,"$51,100 ",950
Doctoral degree,3,51. Health professions and related programs,"51.20. Pharmacy, pharmaceutical sciences and administration",,
Diploma,4,43. Security and protective services,43.02. Fire protection,"$91,100 ",40
Doctoral degree,3,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Doctoral degree,3,51. Health professions and related programs,"51.25. Veterinary biomedical and clinical sciences (Cert., MS, MSc, PhD)",,
Bachelor's degree,4,43. Security and protective services,43.01. Criminal justice and corrections,"$64,800 ",290
Doctoral degree,3,"52. Business, management, marketing and related support services","52.01. Business/commerce, general",,
Doctoral degree,3,"52. Business, management, marketing and related support services","52.02. Business administration, management and operations",,
Doctoral degree,3,54. History,54.01. History,,
Certificate,4,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Bachelor's degree,4,43. Security and protective services,"43.99. Security and protective services, other","$123,400 ",70
Certificate,5,43. Security and protective services,43.01. Criminal justice and corrections,"$46,900 ",60
Certificate,5,43. Security and protective services,43.02. Fire protection,"$70,000 ",620
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,,
Certificate,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,,
Certificate,4,03. Natural resources and conservation,03.02. Natural resources management and policy,,
Certificate,4,03. Natural resources and conservation,03.05. Forestry,,
Certificate,4,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Certificate,4,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",,
Certificate,4,"09. Communication, journalism and related programs",09.04. Journalism,,
Certificate,5,43. Security and protective services,"43.99. Security and protective services, other","$59,100 ",90
Certificate,4,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",,
Diploma,5,43. Security and protective services,43.01. Criminal justice and corrections,"$53,300 ",960
Certificate,4,11. Computer and information sciences and support services,11.07. Computer science,,
Diploma,5,43. Security and protective services,43.02. Fire protection,"$87,800 ",30
Bachelor's degree,5,43. Security and protective services,43.01. Criminal justice and corrections,"$63,900 ",310
Bachelor's degree,5,43. Security and protective services,"43.99. Security and protective services, other","$119,900 ",80
Bachelor's degree,1,44. Public administration and social service professions,"44.00. Human services, general","$56,200 ",120
Bachelor's degree,1,44. Public administration and social service professions,44.07. Social work,"$52,000 ",720
Master's degree,1,44. Public administration and social service professions,44.07. Social work,"$69,100 ",440
Certificate,4,13. Education,"13.02. Bilingual, multilingual and multicultural education",,
Certificate,4,13. Education,"13.13. Teacher education and professional development, specific subject areas",,
Certificate,4,13. Education,13.15. Teaching assistants/aides,,
Certificate,4,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,,
Certificate,4,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,,
Doctoral degree,1,44. Public administration and social service professions,44.07. Social work,"$89,900 ",30
Bachelor's degree,2,44. Public administration and social service professions,"44.00. Human services, general","$53,800 ",120
Bachelor's degree,2,44. Public administration and social service professions,44.07. Social work,"$54,500 ",660
Master's degree,2,44. Public administration and social service professions,44.05. Public policy analysis,"$68,900 ",20
Master's degree,2,44. Public administration and social service professions,44.07. Social work,"$69,700 ",430
Bachelor's degree,3,44. Public administration and social service professions,"44.00. Human services, general","$57,600 ",120
Bachelor's degree,3,44. Public administration and social service professions,44.07. Social work,"$55,200 ",610
Certificate,4,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",,
Certificate,4,19. Family and consumer sciences/human sciences,19.06. Housing and human environments,,
Master's degree,3,44. Public administration and social service professions,44.07. Social work,"$74,400 ",420
Bachelor's degree,4,44. Public administration and social service professions,"44.00. Human services, general","$58,900 ",120
Bachelor's degree,4,44. Public administration and social service professions,44.07. Social work,"$56,500 ",610
Master's degree,4,44. Public administration and social service professions,44.07. Social work,"$72,700 ",400
Bachelor's degree,5,44. Public administration and social service professions,"44.00. Human services, general","$56,500 ",120
Bachelor's degree,5,44. Public administration and social service professions,44.07. Social work,"$57,000 ",650
Master's degree,5,44. Public administration and social service professions,44.07. Social work,"$78,000 ",400
Certificate,4,44. Public administration and social service professions,"44.00. Human services, general",,
Certificate,4,44. Public administration and social service professions,44.04. Public administration,,
Certificate,4,44. Public administration and social service professions,44.07. Social work,,
Bachelor's degree,1,45. Social sciences,"45.01. Social sciences, general","$34,200 ",50
Bachelor's degree,1,45. Social sciences,45.02. Anthropology,"$34,800 ",300
Bachelor's degree,1,45. Social sciences,45.03. Archaeology,"$33,100 ",90
Bachelor's degree,1,45. Social sciences,45.04. Criminology,"$45,000 ",230
Bachelor's degree,1,45. Social sciences,45.06. Economics,"$46,100 ",660
Certificate,4,47. Mechanic and repair technologies/technicians,"47.00. Mechanics and repairers, general",,
Certificate,4,47. Mechanic and repair technologies/technicians,47.01. Electrical/electronics maintenance and repair technology,,
Certificate,4,47. Mechanic and repair technologies/technicians,"47.02. Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",,
Bachelor's degree,1,45. Social sciences,45.07. Geography and cartography,"$49,100 ",250
Bachelor's degree,1,45. Social sciences,45.09. International relations and national security studies,"$39,400 ",170
Bachelor's degree,1,45. Social sciences,45.10. Political science and government,"$37,200 ",680
Bachelor's degree,1,45. Social sciences,45.11. Sociology,"$39,000 ",740
Bachelor's degree,1,45. Social sciences,45.12. Urban studies/affairs,"$43,900 ",110
Master's degree,1,45. Social sciences,45.02. Anthropology,"$53,700 ",40
Certificate,4,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",,
Certificate,4,50. Visual and performing arts,"50.02. Crafts/craft design, folk art and artisanry",,
Master's degree,1,45. Social sciences,45.06. Economics,"$70,400 ",70
Certificate,4,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,,
Certificate,4,50. Visual and performing arts,50.06. Film/video and photographic arts,,
Certificate,4,50. Visual and performing arts,50.09. Music,,
Certificate,4,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Master's degree,1,45. Social sciences,45.07. Geography and cartography,"$56,900 ",50
Master's degree,1,45. Social sciences,45.10. Political science and government,"$55,700 ",50
Doctoral degree,1,45. Social sciences,45.11. Sociology,"$67,200 ",40
Bachelor's degree,2,45. Social sciences,"45.01. Social sciences, general","$40,100 ",50
Bachelor's degree,2,45. Social sciences,45.02. Anthropology,"$41,200 ",280
Bachelor's degree,2,45. Social sciences,45.03. Archaeology,"$37,200 ",90
Certificate,4,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Bachelor's degree,2,45. Social sciences,45.04. Criminology,"$53,300 ",230
Certificate,4,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,,
Bachelor's degree,2,45. Social sciences,45.06. Economics,"$51,700 ",690
Bachelor's degree,2,45. Social sciences,45.07. Geography and cartography,"$55,100 ",270
Certificate,4,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Bachelor's degree,2,45. Social sciences,45.09. International relations and national security studies,"$41,500 ",160
Bachelor's degree,2,45. Social sciences,45.10. Political science and government,"$43,000 ",630
Bachelor's degree,2,45. Social sciences,45.11. Sociology,"$45,700 ",700
Certificate,4,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Bachelor's degree,2,45. Social sciences,45.12. Urban studies/affairs,"$51,700 ",90
Master's degree,2,45. Social sciences,45.06. Economics,"$75,800 ",60
Master's degree,2,45. Social sciences,45.07. Geography and cartography,"$63,500 ",50
Certificate,4,"52. Business, management, marketing and related support services",52.12. Management information systems and services,,
Certificate,4,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,,
Master's degree,2,45. Social sciences,45.10. Political science and government,"$62,300 ",40
Certificate,4,"52. Business, management, marketing and related support services",52.17. Insurance,,
Master's degree,2,45. Social sciences,45.11. Sociology,"$59,500 ",50
Certificate,4,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",,
Diploma,4,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Doctoral degree,2,45. Social sciences,45.11. Sociology,"$74,500 ",40
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,,
Bachelor's degree,3,45. Social sciences,"45.01. Social sciences, general","$41,800 ",60
Bachelor's degree,3,45. Social sciences,45.02. Anthropology,"$42,200 ",280
Bachelor's degree,3,45. Social sciences,45.03. Archaeology,"$39,400 ",100
Bachelor's degree,3,45. Social sciences,45.04. Criminology,"$57,400 ",220
Bachelor's degree,3,45. Social sciences,45.06. Economics,"$56,300 ",690
Bachelor's degree,3,45. Social sciences,45.07. Geography and cartography,"$58,300 ",260
Bachelor's degree,3,45. Social sciences,45.09. International relations and national security studies,"$48,600 ",140
